epoch,step,layer,expert,count
1,1066,0,2,235
1,1066,0,3,11
1,1066,0,4,10
1,1066,0,5,2412
1,1066,0,6,1172
1,1066,0,7,0
1,1066,0,0,315
1,1066,0,1,1364
1,1066,1,2,606
1,1066,1,3,2387
1,1066,1,4,373
1,1066,1,5,906
1,1066,1,6,4
1,1066,1,7,763
1,1066,1,0,18
1,1066,1,1,4
1,1066,2,2,0
1,1066,2,3,0
1,1066,2,4,0
1,1066,2,5,0
1,1066,2,6,0
1,1066,2,7,0
1,1066,2,0,0
1,1066,2,1,0
1,0,0,7,0
1,0,0,0,0
1,0,0,1,40
1,0,0,2,0
1,0,0,3,0
1,0,0,4,780
1,0,0,5,785
1,0,0,6,447
1,0,1,2,0
1,0,1,3,598
1,0,1,4,1
1,0,1,5,9
1,0,1,6,393
1,0,1,7,789
1,0,1,0,0
1,0,1,1,0
2,0,0,5,785
2,0,0,6,447
2,0,0,7,0
2,0,0,0,0
2,0,0,1,40
2,0,0,2,0
2,0,0,3,0
2,0,0,4,780
2,0,1,7,789
2,0,1,0,0
2,0,1,1,0
2,0,1,2,0
2,0,1,3,660
2,0,1,4,0
2,0,1,5,6
2,0,1,6,338
1,0,0,1,0
1,0,0,2,792
1,0,0,3,21
1,0,0,4,0
1,0,0,5,0
1,0,0,6,0
1,0,0,7,126
1,0,0,0,0
1,0,1,2,3
1,0,1,3,0
1,0,1,4,263
1,0,1,5,1
1,0,1,6,233
1,0,1,7,792
1,0,1,0,128
1,0,1,1,288
3,0,0,1,40
3,0,0,2,0
3,0,0,3,0
3,0,0,4,780
3,0,0,5,785
3,0,0,6,447
3,0,0,7,0
3,0,0,0,0
3,0,1,6,338
3,0,1,7,789
3,0,1,0,0
3,0,1,1,0
3,0,1,2,0
3,0,1,3,660
3,0,1,4,0
3,0,1,5,6
2,0,0,4,0
2,0,0,5,0
2,0,0,6,0
2,0,0,7,126
2,0,0,0,0
2,0,0,1,0
2,0,0,2,792
2,0,0,3,21
2,0,1,6,159
2,0,1,7,792
2,0,1,0,49
2,0,1,1,192
2,0,1,2,52
2,0,1,3,0
2,0,1,4,343
2,0,1,5,0
1,1,0,4,0
1,1,0,5,795
1,1,0,6,17
1,1,0,7,27
1,1,0,0,529
1,1,0,1,21
1,1,0,2,234
1,1,0,3,19
1,1,1,7,117
1,1,1,0,147
1,1,1,1,0
1,1,1,2,718
1,1,1,3,233
1,1,1,4,773
1,1,1,5,552
1,1,1,6,519
4,0,0,2,0
4,0,0,3,0
4,0,0,4,780
4,0,0,5,785
4,0,0,6,447
4,0,0,7,0
4,0,0,0,0
4,0,0,1,40
4,0,1,2,0
4,0,1,3,377
4,0,1,4,0
4,0,1,5,6
4,0,1,6,615
4,0,1,7,789
4,0,1,0,0
4,0,1,1,0
3,0,0,5,0
3,0,0,6,0
3,0,0,7,126
3,0,0,0,0
3,0,0,1,0
3,0,0,2,792
3,0,0,3,21
3,0,0,4,0
3,0,1,6,159
3,0,1,7,792
3,0,1,0,49
3,0,1,1,192
3,0,1,2,52
3,0,1,3,0
3,0,1,4,343
3,0,1,5,0
5,0,0,4,780
5,0,0,5,785
5,0,0,6,447
5,0,0,7,0
5,0,0,0,0
5,0,0,1,40
5,0,0,2,0
5,0,0,3,0
5,0,1,5,6
5,0,1,6,615
5,0,1,7,789
5,0,1,0,0
5,0,1,1,0
5,0,1,2,0
5,0,1,3,377
5,0,1,4,0
1,1,0,1,706
1,1,0,2,377
1,1,0,3,14
1,1,0,4,799
1,1,0,5,0
1,1,0,6,5
1,1,0,7,0
1,1,0,0,48
1,1,1,4,167
1,1,1,5,679
1,1,1,6,597
1,1,1,7,218
1,1,1,0,2
1,1,1,1,792
1,1,1,2,0
1,1,1,3,108
4,0,0,7,126
4,0,0,0,0
4,0,0,1,0
4,0,0,2,792
4,0,0,3,21
4,0,0,4,0
4,0,0,5,0
4,0,0,6,0
4,0,1,6,158
4,0,1,7,792
4,0,1,0,121
4,0,1,1,188
4,0,1,2,3
4,0,1,3,0
4,0,1,4,246
4,0,1,5,0
6,0,0,4,780
6,0,0,5,785
6,0,0,6,447
6,0,0,7,0
6,0,0,0,0
6,0,0,1,40
6,0,0,2,0
6,0,0,3,0
6,0,1,1,0
6,0,1,2,0
6,0,1,3,418
6,0,1,4,0
6,0,1,5,5
6,0,1,6,436
6,0,1,7,789
6,0,1,0,0
2,2,0,3,12
2,2,0,4,799
2,2,0,5,0
2,2,0,6,4
2,2,0,7,0
2,2,0,0,54
2,2,0,1,707
2,2,0,2,378
2,2,1,4,168
2,2,1,5,605
2,2,1,6,573
2,2,1,7,217
2,2,1,0,2
2,2,1,1,799
2,2,1,2,0
2,2,1,3,106
5,0,0,7,126
5,0,0,0,0
5,0,0,1,0
5,0,0,2,792
5,0,0,3,21
5,0,0,4,0
5,0,0,5,0
5,0,0,6,0
5,0,1,1,188
5,0,1,2,3
5,0,1,3,0
5,0,1,4,246
5,0,1,5,0
5,0,1,6,158
5,0,1,7,792
5,0,1,0,121
7,0,0,4,780
7,0,0,5,785
7,0,0,6,447
7,0,0,7,0
7,0,0,0,0
7,0,0,1,40
7,0,0,2,0
7,0,0,3,0
7,0,1,1,0
7,0,1,2,0
7,0,1,3,418
7,0,1,4,0
7,0,1,5,5
7,0,1,6,436
7,0,1,7,789
7,0,1,0,0
3,3,0,4,799
3,3,0,5,0
3,3,0,6,3
3,3,0,7,1
3,3,0,0,74
3,3,0,1,705
3,3,0,2,366
3,3,0,3,13
3,3,1,2,0
3,3,1,3,102
3,3,1,4,168
3,3,1,5,519
3,3,1,6,569
3,3,1,7,217
3,3,1,0,2
3,3,1,1,796
6,0,0,3,21
6,0,0,4,0
6,0,0,5,0
6,0,0,6,0
6,0,0,7,126
6,0,0,0,0
6,0,0,1,0
6,0,0,2,792
6,0,1,3,0
6,0,1,4,239
6,0,1,5,0
6,0,1,6,139
6,0,1,7,792
6,0,1,0,130
6,0,1,1,198
6,0,1,2,4
8,0,0,2,0
8,0,0,3,0
8,0,0,4,780
8,0,0,5,785
8,0,0,6,447
8,0,0,7,0
8,0,0,0,0
8,0,0,1,40
8,0,1,4,0
8,0,1,5,4
8,0,1,6,267
8,0,1,7,789
8,0,1,0,0
8,0,1,1,0
8,0,1,2,0
8,0,1,3,749
4,4,0,7,0
4,4,0,0,82
4,4,0,1,705
4,4,0,2,365
4,4,0,3,12
4,4,0,4,799
4,4,0,5,0
4,4,0,6,3
4,4,1,2,0
4,4,1,3,88
4,4,1,4,164
4,4,1,5,477
4,4,1,6,581
4,4,1,7,215
4,4,1,0,1
4,4,1,1,799
7,0,0,0,0
7,0,0,1,0
7,0,0,2,792
7,0,0,3,21
7,0,0,4,0
