2026/04/12 13:30:58 main.go:26: Initializing MoE Model [Dim=256, Experts=8, K=2, Batch=256, Prefetch=4]
2026/04/12 13:30:58 main.go:48: --- 🚀 Starting Gollemer Training (Goroutine-pipelined) ---
Epoch 0 | Loss: 0.030077 | Batch Size: 256 | Throughput: 1988 samples/sec
Epoch 100 | Loss: 0.000489 | Batch Size: 256 | Throughput: 2391 samples/sec
Epoch 200 | Loss: 0.000273 | Batch Size: 256 | Throughput: 2402 samples/sec
Epoch 300 | Loss: 0.000110 | Batch Size: 256 | Throughput: 2414 samples/sec
Epoch 400 | Loss: 0.000047 | Batch Size: 256 | Throughput: 2413 samples/sec
Epoch 500 | Loss: 0.000034 | Batch Size: 256 | Throughput: 2426 samples/sec
Epoch 600 | Loss: 0.000016 | Batch Size: 256 | Throughput: 2429 samples/sec
Epoch 700 | Loss: 0.000018 | Batch Size: 256 | Throughput: 2429 samples/sec
Epoch 800 | Loss: 0.000013 | Batch Size: 256 | Throughput: 2427 samples/sec
Epoch 900 | Loss: 0.000006 | Batch Size: 256 | Throughput: 2424 samples/sec
Epoch 1000 | Loss: 0.000003 | Batch Size: 256 | Throughput: 2423 samples/sec
Epoch 1100 | Loss: 0.000003 | Batch Size: 256 | Throughput: 2426 samples/sec
Epoch 1200 | Loss: 0.000002 | Batch Size: 256 | Throughput: 2424 samples/sec
Epoch 1300 | Loss: 0.000002 | Batch Size: 256 | Throughput: 2425 samples/sec
Epoch 1400 | Loss: 0.000002 | Batch Size: 256 | Throughput: 2424 samples/sec
Epoch 1500 | Loss: 0.000001 | Batch Size: 256 | Throughput: 2426 samples/sec
Epoch 1600 | Loss: 0.000001 | Batch Size: 256 | Throughput: 2425 samples/sec
Epoch 1700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2424 samples/sec
Epoch 1800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2424 samples/sec
Epoch 1900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2424 samples/sec
Epoch 2000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2425 samples/sec
Epoch 2100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2427 samples/sec
Epoch 2200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2428 samples/sec
Epoch 2300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2429 samples/sec
Epoch 2400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2428 samples/sec
Epoch 2500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2427 samples/sec
Epoch 2600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2428 samples/sec
Epoch 2700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2427 samples/sec
Epoch 2800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2426 samples/sec
Epoch 2900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2427 samples/sec
Epoch 3000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2428 samples/sec
Epoch 3100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2428 samples/sec
Epoch 3200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2428 samples/sec
Epoch 3300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2429 samples/sec
Epoch 3400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2429 samples/sec
Epoch 3500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2430 samples/sec
Epoch 3600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2430 samples/sec
Epoch 3700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2429 samples/sec
Epoch 3800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2429 samples/sec
Epoch 3900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2428 samples/sec
Epoch 4000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2428 samples/sec
Epoch 4100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2428 samples/sec
Epoch 4200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2429 samples/sec
Epoch 4300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2429 samples/sec
Epoch 4400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2430 samples/sec
Epoch 4500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 4600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 4700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 4800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 4900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2433 samples/sec
Epoch 5000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 5100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 5200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 5300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 5400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 5500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 5600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
